date,USD
2021-01-01,10485.61
2021-02-01,10535.622727272728
2021-03-01,10504.92409090909
2021-04-01,10504.023181818182
2021-05-01,10556.433684210526
2021-06-01,10574.834090909091
2021-07-01,10626.121904761905
2021-08-01,10647.028636363637
2021-09-01,10677.093157894737
2021-10-01,10688.5175
2021-11-01,10728.61
2021-12-01,10808.447619047618
2022-01-01,10826.838
2022-02-01,10845.307499999999
2022-03-01,11162.482105263158
2022-04-01,11309.567142857142
2022-05-01,11113.262631578948
2022-06-01,10944.99
2022-07-01,10917.597
2022-08-01,10918.68304347826
2022-09-01,10980.2825
2022-10-01,11099.698571428573
2022-11-01,11185.256818181819
2022-12-01,11243.104285714286
2023-01-01,11300.214285714286
2023-02-01,11330.948
2023-03-01,11397.21761904762
2023-04-01,11407.811666666668
2023-05-01,11436.798181818182
2023-06-01,11456.60052631579
2023-07-01,11579.423333333332
2023-08-01,11927.46652173913
2023-09-01,12163.954000000002
2023-10-01,12208.081904761904
2023-11-01,12279.384999999998
2023-12-01,12340.1935
2024-01-01,12400.942727272726
2024-02-01,12475.013333333332
2024-03-01,12550.594444444445
2024-04-01,12669.17
2024-05-01,12682.54
2024-06-01,12621.62
2024-07-01,12600.790434782608
2024-08-01,12632.975454545456
2024-09-01,12717.987368421052
2024-10-01,12788.32818181818
2024-11-01,12815.41761904762
2024-12-01,12871.758
2025-01-01,12958.608636363637
2025-02-01,12954.932
2025-03-01,12924.315
2025-04-01,12944.820454545454
2025-05-01,12905.604761904762
2025-06-01,12664.418
2025-07-01,12643.558695652173
2025-08-01,12517.849999999999
2025-09-01,12326.079523809525
2025-10-01,12089.662727272727
2025-11-01,11972.0325
2025-12-01,12017.009047619047
2026-01-01,12067.181
2026-02-01,12226.482
2026-03-01,12165.365263157895
2026-04-01,12122.32090909091
2026-05-01,12034.290588235293
2026-06-01,12013.874545454544
2026-07-01,11985.027142857143
