,perm_importance_rmse
price_lag_1,36556.09140665685
price_roll_mean_12,17119.88385558114
price_roll_mean_6,16597.279109531293
price_lag_2,8174.157316171804
price_roll_mean_3,6495.413516958441
month_sin,1016.0103776162259
soil_moisture_0_7_lag_2,635.4438556332152
wind_max,586.9477649030608
gdd_cumulative,495.98989686764924
humidity_mean,380.58639330464086
gdd,367.84605348027947
pop_share_city,331.86311411330587
temp_mean,311.5094062635002
population,275.9089446355012
gdd_lag_1,245.36341095822553
gdd_lag_3,230.42287759309002
temp_max,212.20697613045468
temp_min,199.83992835217958
precipitation_sum,192.6863383984879
temp_mean_lag_3,187.88952898934548
month_cos,184.6300615821443
price_roll_std_12,143.19260213441157
temp_mean_lag_1,81.14588106168394
soil_moisture_0_7_lag_3,72.8495419421115
temperature_roll6,71.14537017615002
drought_index_lag_1,65.58315607294352
wind_mean,62.102836905820915
et0_lag_1,61.22535453241526
price_lag_3,61.066946214769814
et0_lag_6,59.47055221058963
gdd_lag_2,48.3957412383741
drought_index_lag_6,45.22610371664414
rainfall_roll3,40.88752276219784
temperature_roll3,39.66988176417381
AI-100,34.00791857587846
temp_diurnal_range,31.804292919263027
precipitation_sum_lag_1,27.04926242954425
max_daily_rain,26.197375764610843
soil_moisture_0_7,23.74074650662151
soil_temperature,20.082871458989395
et0,18.13501942736384
price_roll_std_3,17.562872848042208
rain_days,14.58407144603989
solar_radiation,13.321236244958891
days_above_35,8.518408543929581
rainfall_anomaly,6.208816087520245
humidity_max,5.989076610581469
Diesel,5.352392804669944
temp_mean_lag_2,5.310077031389847
AI-80,4.359522739914064
AI-92 IMPORT,3.7338751891864375
heatwave_days,1.8024739332493482
temp_mean_lag_6,1.2564503331259402
district_code,1.2483094573017297
product_code,0.6462301307867164
price_roll_std_6,0.43457345950173476
AI-95,-0.0029007640609052033
AI-98,-0.12449987585587223
price_lag_12,-0.23438374386169017
soil_moisture_0_7_lag_6,-2.797741801117263
sunshine_duration,-3.0921638302088468
precipitation_sum_lag_3,-3.2223742402611606
gdd_lag_6,-3.2453902169721913
rainfall_roll6,-3.9099798027100405
drought_index,-6.189104639226753
et0_lag_3,-6.860716564095855
soil_moisture_0_7_lag_1,-8.76754150347806
frost_days,-10.34500006000144
days_below_0,-10.345000060002167
USD,-12.535541018164077
drought_index_lag_3,-15.896593250892874
pop_yoy_growth,-17.88667154630093
precipitation_sum_lag_6,-25.055367721178662
temp_range,-30.335300268850734
et0_lag_2,-31.57526385890069
surface_pressure,-42.93138413485103
month_of_year,-43.68700884397113
soil_moisture_7_28,-44.766225071541704
quarter,-57.34050888724814
drought_index_lag_2,-67.33895105386019
wind_gust_max,-165.9383651947328
precipitation_sum_lag_2,-172.00293759571105
